site_id,well_id,cell_type,dataset,experiment,plate,well,site,well_type,sirna,sirna_id,split1
U2OS-04_1_B20_2,U2OS-04_1_B20,U2OS,test,U2OS-04,1,B20,2,treatment,s36846,1024,test
U2OS-04_1_B21_1,U2OS-04_1_B21,U2OS,test,U2OS-04,1,B21,1,treatment,s39246,754,valid
U2OS-04_1_B21_2,U2OS-04_1_B21,U2OS,test,U2OS-04,1,B21,2,treatment,s39246,754,valid
U2OS-04_1_B22_1,U2OS-04_1_B22,U2OS,test,U2OS-04,1,B22,1,treatment,s36538,153,test
U2OS-04_1_B22_2,U2OS-04_1_B22,U2OS,test,U2OS-04,1,B22,2,treatment,s36538,153,test
U2OS-04_1_B23_1,U2OS-04_1_B23,U2OS,test,U2OS-04,1,B23,1,treatment,s37483,44,test
U2OS-04_1_B23_2,U2OS-04_1_B23,U2OS,test,U2OS-04,1,B23,2,treatment,s37483,44,valid
U2OS-04_1_C02_1,U2OS-04_1_C02,U2OS,test,U2OS-04,1,C02,1,treatment,s36168,731,valid
U2OS-04_1_C02_2,U2OS-04_1_C02,U2OS,test,U2OS-04,1,C02,2,treatment,s36168,731,valid
U2OS-04_1_C03_1,U2OS-04_1_C03,U2OS,test,U2OS-04,1,C03,1,positive_control,s194768,1117,train
U2OS-04_1_C03_2,U2OS-04_1_C03,U2OS,test,U2OS-04,1,C03,2,positive_control,s194768,1117,test
U2OS-04_1_C04_1,U2OS-04_1_C04,U2OS,test,U2OS-04,1,C04,1,treatment,s224918,569,train
U2OS-04_1_C04_2,U2OS-04_1_C04,U2OS,test,U2OS-04,1,C04,2,treatment,s224918,569,test
U2OS-04_1_C05_1,U2OS-04_1_C05,U2OS,test,U2OS-04,1,C05,1,treatment,s224935,920,train
U2OS-04_1_C05_2,U2OS-04_1_C05,U2OS,test,U2OS-04,1,C05,2,treatment,s224935,920,test
U2OS-04_1_C06_1,U2OS-04_1_C06,U2OS,test,U2OS-04,1,C06,1,treatment,s39171,189,test
U2OS-04_1_C06_2,U2OS-04_1_C06,U2OS,test,U2OS-04,1,C06,2,treatment,s39171,189,test
U2OS-04_1_C07_1,U2OS-04_1_C07,U2OS,test,U2OS-04,1,C07,1,positive_control,s2947,1120,test
U2OS-04_1_C07_2,U2OS-04_1_C07,U2OS,test,U2OS-04,1,C07,2,positive_control,s2947,1120,test
U2OS-04_1_C08_1,U2OS-04_1_C08,U2OS,test,U2OS-04,1,C08,1,treatment,s36156,957,test
U2OS-04_1_C08_2,U2OS-04_1_C08,U2OS,test,U2OS-04,1,C08,2,treatment,s36156,957,test
U2OS-04_1_C09_1,U2OS-04_1_C09,U2OS,test,U2OS-04,1,C09,1,treatment,s36915,563,train
U2OS-04_1_C09_2,U2OS-04_1_C09,U2OS,test,U2OS-04,1,C09,2,treatment,s36915,563,test
U2OS-04_1_C10_1,U2OS-04_1_C10,U2OS,test,U2OS-04,1,C10,1,treatment,s38133,849,test
U2OS-04_1_C10_2,U2OS-04_1_C10,U2OS,test,U2OS-04,1,C10,2,treatment,s38133,849,test
U2OS-04_1_C11_1,U2OS-04_1_C11,U2OS,test,U2OS-04,1,C11,1,positive_control,s501357,1131,test
U2OS-04_1_C11_2,U2OS-04_1_C11,U2OS,test,U2OS-04,1,C11,2,positive_control,s501357,1131,test
U2OS-04_1_C12_1,U2OS-04_1_C12,U2OS,test,U2OS-04,1,C12,1,treatment,s200549,111,valid
U2OS-04_1_C12_2,U2OS-04_1_C12,U2OS,test,U2OS-04,1,C12,2,treatment,s200549,111,test
U2OS-04_1_C13_1,U2OS-04_1_C13,U2OS,test,U2OS-04,1,C13,1,treatment,s36196,160,test
U2OS-04_1_C13_2,U2OS-04_1_C13,U2OS,test,U2OS-04,1,C13,2,treatment,s36196,160,test
U2OS-04_1_C14_1,U2OS-04_1_C14,U2OS,test,U2OS-04,1,C14,1,treatment,s38290,257,test
U2OS-04_1_C14_2,U2OS-04_1_C14,U2OS,test,U2OS-04,1,C14,2,treatment,s38290,257,test
U2OS-04_1_C15_1,U2OS-04_1_C15,U2OS,test,U2OS-04,1,C15,1,positive_control,s8645,1137,test
U2OS-04_1_C15_2,U2OS-04_1_C15,U2OS,test,U2OS-04,1,C15,2,positive_control,s8645,1137,test
U2OS-04_1_C16_1,U2OS-04_1_C16,U2OS,test,U2OS-04,1,C16,1,treatment,s37706,317,test
U2OS-04_1_C16_2,U2OS-04_1_C16,U2OS,test,U2OS-04,1,C16,2,treatment,s37706,317,train
U2OS-04_1_C17_1,U2OS-04_1_C17,U2OS,test,U2OS-04,1,C17,1,treatment,s37205,917,test
U2OS-04_1_C17_2,U2OS-04_1_C17,U2OS,test,U2OS-04,1,C17,2,treatment,s37205,917,valid
U2OS-04_1_C18_1,U2OS-04_1_C18,U2OS,test,U2OS-04,1,C18,1,treatment,s36577,218,test
U2OS-04_1_C18_2,U2OS-04_1_C18,U2OS,test,U2OS-04,1,C18,2,treatment,s36577,218,test
U2OS-04_1_C19_1,U2OS-04_1_C19,U2OS,test,U2OS-04,1,C19,1,positive_control,s15652,1114,test
U2OS-04_1_C19_2,U2OS-04_1_C19,U2OS,test,U2OS-04,1,C19,2,positive_control,s15652,1114,test
U2OS-04_1_C20_1,U2OS-04_1_C20,U2OS,test,U2OS-04,1,C20,1,treatment,s39303,1049,test
U2OS-04_1_C20_2,U2OS-04_1_C20,U2OS,test,U2OS-04,1,C20,2,treatment,s39303,1049,valid
U2OS-04_1_C21_1,U2OS-04_1_C21,U2OS,test,U2OS-04,1,C21,1,treatment,s36698,923,test
U2OS-04_1_C21_2,U2OS-04_1_C21,U2OS,test,U2OS-04,1,C21,2,treatment,s36698,923,test
U2OS-04_1_C22_1,U2OS-04_1_C22,U2OS,test,U2OS-04,1,C22,1,positive_control,s502432,1134,test
U2OS-04_1_C22_2,U2OS-04_1_C22,U2OS,test,U2OS-04,1,C22,2,positive_control,s502432,1134,test
U2OS-04_1_C23_1,U2OS-04_1_C23,U2OS,test,U2OS-04,1,C23,1,treatment,s36989,651,valid
U2OS-04_1_C23_2,U2OS-04_1_C23,U2OS,test,U2OS-04,1,C23,2,treatment,s36989,651,test
U2OS-04_1_D02_1,U2OS-04_1_D02,U2OS,test,U2OS-04,1,D02,1,treatment,s38533,968,valid
U2OS-04_1_D02_2,U2OS-04_1_D02,U2OS,test,U2OS-04,1,D02,2,treatment,s38533,968,test
U2OS-04_1_D03_1,U2OS-04_1_D03,U2OS,test,U2OS-04,1,D03,1,treatment,s37433,381,valid
U2OS-04_1_D03_2,U2OS-04_1_D03,U2OS,test,U2OS-04,1,D03,2,treatment,s37433,381,test
U2OS-04_1_D04_1,U2OS-04_1_D04,U2OS,test,U2OS-04,1,D04,1,treatment,s37799,95,train
U2OS-04_1_D04_2,U2OS-04_1_D04,U2OS,test,U2OS-04,1,D04,2,treatment,s37799,95,test
U2OS-04_1_D05_1,U2OS-04_1_D05,U2OS,test,U2OS-04,1,D05,1,treatment,s39258,934,test
U2OS-04_1_D05_2,U2OS-04_1_D05,U2OS,test,U2OS-04,1,D05,2,treatment,s39258,934,valid
U2OS-04_1_D06_1,U2OS-04_1_D06,U2OS,test,U2OS-04,1,D06,1,treatment,s36091,1088,valid
U2OS-04_1_D06_2,U2OS-04_1_D06,U2OS,test,U2OS-04,1,D06,2,treatment,s36091,1088,train
U2OS-04_1_D07_1,U2OS-04_1_D07,U2OS,test,U2OS-04,1,D07,1,treatment,s36255,826,test
U2OS-04_1_D07_2,U2OS-04_1_D07,U2OS,test,U2OS-04,1,D07,2,treatment,s36255,826,test
U2OS-04_1_D08_1,U2OS-04_1_D08,U2OS,test,U2OS-04,1,D08,1,treatment,s38956,228,train
U2OS-04_1_D08_2,U2OS-04_1_D08,U2OS,test,U2OS-04,1,D08,2,treatment,s38956,228,test
U2OS-04_1_D09_1,U2OS-04_1_D09,U2OS,test,U2OS-04,1,D09,1,treatment,s39068,165,test
U2OS-04_1_D09_2,U2OS-04_1_D09,U2OS,test,U2OS-04,1,D09,2,treatment,s39068,165,valid
U2OS-04_1_D10_1,U2OS-04_1_D10,U2OS,test,U2OS-04,1,D10,1,treatment,s37979,735,valid
U2OS-04_1_D10_2,U2OS-04_1_D10,U2OS,test,U2OS-04,1,D10,2,treatment,s37979,735,test
U2OS-04_1_D11_1,U2OS-04_1_D11,U2OS,test,U2OS-04,1,D11,1,treatment,s37346,1046,train
U2OS-04_1_D11_2,U2OS-04_1_D11,U2OS,test,U2OS-04,1,D11,2,treatment,s37346,1046,test
U2OS-04_1_D12_1,U2OS-04_1_D12,U2OS,test,U2OS-04,1,D12,1,treatment,s38120,182,valid
U2OS-04_1_D12_2,U2OS-04_1_D12,U2OS,test,U2OS-04,1,D12,2,treatment,s38120,182,test
U2OS-04_1_D13_1,U2OS-04_1_D13,U2OS,test,U2OS-04,1,D13,1,treatment,s38490,232,test
U2OS-04_1_D13_2,U2OS-04_1_D13,U2OS,test,U2OS-04,1,D13,2,treatment,s38490,232,test
U2OS-04_1_D14_1,U2OS-04_1_D14,U2OS,test,U2OS-04,1,D14,1,treatment,s36346,753,valid
U2OS-04_1_D14_2,U2OS-04_1_D14,U2OS,test,U2OS-04,1,D14,2,treatment,s36346,753,valid
U2OS-04_1_D15_1,U2OS-04_1_D15,U2OS,test,U2OS-04,1,D15,1,treatment,s38370,1043,valid
U2OS-04_1_D15_2,U2OS-04_1_D15,U2OS,test,U2OS-04,1,D15,2,treatment,s38370,1043,test
U2OS-04_1_D16_1,U2OS-04_1_D16,U2OS,test,U2OS-04,1,D16,1,treatment,s39003,499,test
U2OS-04_1_D16_2,U2OS-04_1_D16,U2OS,test,U2OS-04,1,D16,2,treatment,s39003,499,test
U2OS-04_1_D17_1,U2OS-04_1_D17,U2OS,test,U2OS-04,1,D17,1,treatment,s224940,722,test
U2OS-04_1_D17_2,U2OS-04_1_D17,U2OS,test,U2OS-04,1,D17,2,treatment,s224940,722,test
U2OS-04_1_D18_1,U2OS-04_1_D18,U2OS,test,U2OS-04,1,D18,1,treatment,s38139,535,train
U2OS-04_1_D18_2,U2OS-04_1_D18,U2OS,test,U2OS-04,1,D18,2,treatment,s38139,535,test
U2OS-04_1_D19_1,U2OS-04_1_D19,U2OS,test,U2OS-04,1,D19,1,treatment,s39556,425,train
U2OS-04_1_D19_2,U2OS-04_1_D19,U2OS,test,U2OS-04,1,D19,2,treatment,s39556,425,test
U2OS-04_1_D20_1,U2OS-04_1_D20,U2OS,test,U2OS-04,1,D20,1,treatment,s195427,475,test
U2OS-04_1_D20_2,U2OS-04_1_D20,U2OS,test,U2OS-04,1,D20,2,treatment,s195427,475,test
U2OS-04_1_D21_1,U2OS-04_1_D21,U2OS,test,U2OS-04,1,D21,1,treatment,s39418,61,test
U2OS-04_1_D21_2,U2OS-04_1_D21,U2OS,test,U2OS-04,1,D21,2,treatment,s39418,61,train
U2OS-04_1_D22_1,U2OS-04_1_D22,U2OS,test,U2OS-04,1,D22,1,treatment,s37793,965,test
U2OS-04_1_D22_2,U2OS-04_1_D22,U2OS,test,U2OS-04,1,D22,2,treatment,s37793,965,test
U2OS-04_1_D23_1,U2OS-04_1_D23,U2OS,test,U2OS-04,1,D23,1,treatment,s37866,390,valid
U2OS-04_1_D23_2,U2OS-04_1_D23,U2OS,test,U2OS-04,1,D23,2,treatment,s37866,390,test
U2OS-04_1_E02_1,U2OS-04_1_E02,U2OS,test,U2OS-04,1,E02,1,treatment,s36819,952,valid
U2OS-04_1_E02_2,U2OS-04_1_E02,U2OS,test,U2OS-04,1,E02,2,treatment,s36819,952,test
U2OS-04_1_E03_1,U2OS-04_1_E03,U2OS,test,U2OS-04,1,E03,1,treatment,s39091,495,train
U2OS-04_1_E03_2,U2OS-04_1_E03,U2OS,test,U2OS-04,1,E03,2,treatment,s39091,495,test
U2OS-04_1_E04_1,U2OS-04_1_E04,U2OS,test,U2OS-04,1,E04,1,treatment,s39377,42,test
U2OS-04_1_E04_2,U2OS-04_1_E04,U2OS,test,U2OS-04,1,E04,2,treatment,s39377,42,test
U2OS-04_1_E05_1,U2OS-04_1_E05,U2OS,test,U2OS-04,1,E05,1,treatment,s224948,876,valid
U2OS-04_1_E05_2,U2OS-04_1_E05,U2OS,test,U2OS-04,1,E05,2,treatment,s224948,876,test
U2OS-04_1_E06_1,U2OS-04_1_E06,U2OS,test,U2OS-04,1,E06,1,treatment,s37997,553,valid
U2OS-04_1_E06_2,U2OS-04_1_E06,U2OS,test,U2OS-04,1,E06,2,treatment,s37997,553,test
U2OS-04_1_E07_1,U2OS-04_1_E07,U2OS,test,U2OS-04,1,E07,1,treatment,s38545,424,test
U2OS-04_1_E07_2,U2OS-04_1_E07,U2OS,test,U2OS-04,1,E07,2,treatment,s38545,424,valid
U2OS-04_1_E08_1,U2OS-04_1_E08,U2OS,test,U2OS-04,1,E08,1,treatment,s38018,996,valid
U2OS-04_1_E08_2,U2OS-04_1_E08,U2OS,test,U2OS-04,1,E08,2,treatment,s38018,996,test
U2OS-04_1_E09_1,U2OS-04_1_E09,U2OS,test,U2OS-04,1,E09,1,treatment,s36733,1033,test
U2OS-04_1_E09_2,U2OS-04_1_E09,U2OS,test,U2OS-04,1,E09,2,treatment,s36733,1033,test
U2OS-04_1_E10_1,U2OS-04_1_E10,U2OS,test,U2OS-04,1,E10,1,treatment,s39046,342,valid
U2OS-04_1_E10_2,U2OS-04_1_E10,U2OS,test,U2OS-04,1,E10,2,treatment,s39046,342,test
U2OS-04_1_E11_1,U2OS-04_1_E11,U2OS,test,U2OS-04,1,E11,1,treatment,s36965,333,test
U2OS-04_1_E11_2,U2OS-04_1_E11,U2OS,test,U2OS-04,1,E11,2,treatment,s36965,333,test
U2OS-04_1_E12_1,U2OS-04_1_E12,U2OS,test,U2OS-04,1,E12,1,treatment,s37182,733,test
U2OS-04_1_E12_2,U2OS-04_1_E12,U2OS,test,U2OS-04,1,E12,2,treatment,s37182,733,test
U2OS-04_1_E13_1,U2OS-04_1_E13,U2OS,test,U2OS-04,1,E13,1,treatment,s36936,20,test
U2OS-04_1_E13_2,U2OS-04_1_E13,U2OS,test,U2OS-04,1,E13,2,treatment,s36936,20,test
U2OS-04_1_E14_1,U2OS-04_1_E14,U2OS,test,U2OS-04,1,E14,1,treatment,s36629,409,test
U2OS-04_1_E14_2,U2OS-04_1_E14,U2OS,test,U2OS-04,1,E14,2,treatment,s36629,409,train
U2OS-04_1_E15_1,U2OS-04_1_E15,U2OS,test,U2OS-04,1,E15,1,treatment,s37898,25,train
U2OS-04_1_E15_2,U2OS-04_1_E15,U2OS,test,U2OS-04,1,E15,2,treatment,s37898,25,test
U2OS-04_1_E16_1,U2OS-04_1_E16,U2OS,test,U2OS-04,1,E16,1,treatment,s38093,462,valid
U2OS-04_1_E16_2,U2OS-04_1_E16,U2OS,test,U2OS-04,1,E16,2,treatment,s38093,462,valid
U2OS-04_1_E17_1,U2OS-04_1_E17,U2OS,test,U2OS-04,1,E17,1,treatment,s36544,781,test
U2OS-04_1_E17_2,U2OS-04_1_E17,U2OS,test,U2OS-04,1,E17,2,treatment,s36544,781,test
U2OS-04_1_E18_1,U2OS-04_1_E18,U2OS,test,U2OS-04,1,E18,1,treatment,s39448,1058,test
U2OS-04_1_E18_2,U2OS-04_1_E18,U2OS,test,U2OS-04,1,E18,2,treatment,s39448,1058,test
U2OS-04_1_E19_1,U2OS-04_1_E19,U2OS,test,U2OS-04,1,E19,1,treatment,s37261,196,test
U2OS-04_1_E19_2,U2OS-04_1_E19,U2OS,test,U2OS-04,1,E19,2,treatment,s37261,196,valid
U2OS-04_1_E20_1,U2OS-04_1_E20,U2OS,test,U2OS-04,1,E20,1,treatment,s37601,1064,valid
U2OS-04_1_E20_2,U2OS-04_1_E20,U2OS,test,U2OS-04,1,E20,2,treatment,s37601,1064,test
U2OS-04_1_E21_1,U2OS-04_1_E21,U2OS,test,U2OS-04,1,E21,1,treatment,s37414,659,train
U2OS-04_1_E21_2,U2OS-04_1_E21,U2OS,test,U2OS-04,1,E21,2,treatment,s37414,659,test
U2OS-04_1_E22_1,U2OS-04_1_E22,U2OS,test,U2OS-04,1,E22,1,treatment,s37678,867,test
U2OS-04_1_E22_2,U2OS-04_1_E22,U2OS,test,U2OS-04,1,E22,2,treatment,s37678,867,test
U2OS-04_1_E23_1,U2OS-04_1_E23,U2OS,test,U2OS-04,1,E23,1,treatment,s35994,946,test
U2OS-04_1_E23_2,U2OS-04_1_E23,U2OS,test,U2OS-04,1,E23,2,treatment,s35994,946,valid
U2OS-04_1_F02_1,U2OS-04_1_F02,U2OS,test,U2OS-04,1,F02,1,treatment,s37874,7,test
U2OS-04_1_F02_2,U2OS-04_1_F02,U2OS,test,U2OS-04,1,F02,2,treatment,s37874,7,test
U2OS-04_1_F03_1,U2OS-04_1_F03,U2OS,test,U2OS-04,1,F03,1,positive_control,n337250,1108,test
U2OS-04_1_F03_2,U2OS-04_1_F03,U2OS,test,U2OS-04,1,F03,2,positive_control,n337250,1108,test
U2OS-04_1_F04_1,U2OS-04_1_F04,U2OS,test,U2OS-04,1,F04,1,treatment,s39402,761,test
U2OS-04_1_F04_2,U2OS-04_1_F04,U2OS,test,U2OS-04,1,F04,2,treatment,s39402,761,valid
U2OS-04_1_F05_1,U2OS-04_1_F05,U2OS,test,U2OS-04,1,F05,1,treatment,s38087,732,train
U2OS-04_1_F05_2,U2OS-04_1_F05,U2OS,test,U2OS-04,1,F05,2,treatment,s38087,732,test
U2OS-04_1_F06_1,U2OS-04_1_F06,U2OS,test,U2OS-04,1,F06,1,treatment,s224930,421,test
U2OS-04_1_F06_2,U2OS-04_1_F06,U2OS,test,U2OS-04,1,F06,2,treatment,s224930,421,test
U2OS-04_1_F07_1,U2OS-04_1_F07,U2OS,test,U2OS-04,1,F07,1,positive_control,s14729,1113,test
U2OS-04_1_F07_2,U2OS-04_1_F07,U2OS,test,U2OS-04,1,F07,2,positive_control,s14729,1113,test
U2OS-04_1_F08_1,U2OS-04_1_F08,U2OS,test,U2OS-04,1,F08,1,treatment,s224907,467,test
U2OS-04_1_F08_2,U2OS-04_1_F08,U2OS,test,U2OS-04,1,F08,2,treatment,s224907,467,test
U2OS-04_1_F09_1,U2OS-04_1_F09,U2OS,test,U2OS-04,1,F09,1,treatment,s38917,303,valid
U2OS-04_1_F09_2,U2OS-04_1_F09,U2OS,test,U2OS-04,1,F09,2,treatment,s38917,303,test
U2OS-04_1_F10_1,U2OS-04_1_F10,U2OS,test,U2OS-04,1,F10,1,treatment,s37347,685,valid
U2OS-04_1_F10_2,U2OS-04_1_F10,U2OS,test,U2OS-04,1,F10,2,treatment,s37347,685,train
U2OS-04_1_F11_1,U2OS-04_1_F11,U2OS,test,U2OS-04,1,F11,1,positive_control,s1174,1109,test
U2OS-04_1_F11_2,U2OS-04_1_F11,U2OS,test,U2OS-04,1,F11,2,positive_control,s1174,1109,test
U2OS-04_1_F12_1,U2OS-04_1_F12,U2OS,test,U2OS-04,1,F12,1,treatment,s39538,423,test
U2OS-04_1_F12_2,U2OS-04_1_F12,U2OS,test,U2OS-04,1,F12,2,treatment,s39538,423,test
U2OS-04_1_F13_1,U2OS-04_1_F13,U2OS,test,U2OS-04,1,F13,1,treatment,s39296,483,test
U2OS-04_1_F13_2,U2OS-04_1_F13,U2OS,test,U2OS-04,1,F13,2,treatment,s39296,483,test
U2OS-04_1_F14_1,U2OS-04_1_F14,U2OS,test,U2OS-04,1,F14,1,treatment,s37388,991,test
U2OS-04_1_F14_2,U2OS-04_1_F14,U2OS,test,U2OS-04,1,F14,2,treatment,s37388,991,test
U2OS-04_1_F15_1,U2OS-04_1_F15,U2OS,test,U2OS-04,1,F15,1,positive_control,s501351,1130,test
U2OS-04_1_F15_2,U2OS-04_1_F15,U2OS,test,U2OS-04,1,F15,2,positive_control,s501351,1130,test
U2OS-04_1_F16_1,U2OS-04_1_F16,U2OS,test,U2OS-04,1,F16,1,treatment,s38759,164,test
U2OS-04_1_F16_2,U2OS-04_1_F16,U2OS,test,U2OS-04,1,F16,2,treatment,s38759,164,valid
U2OS-04_1_F17_1,U2OS-04_1_F17,U2OS,test,U2OS-04,1,F17,1,treatment,s38165,544,train
U2OS-04_1_F17_2,U2OS-04_1_F17,U2OS,test,U2OS-04,1,F17,2,treatment,s38165,544,test
U2OS-04_1_F18_1,U2OS-04_1_F18,U2OS,test,U2OS-04,1,F18,1,treatment,s38294,364,valid
U2OS-04_1_F18_2,U2OS-04_1_F18,U2OS,test,U2OS-04,1,F18,2,treatment,s38294,364,test
U2OS-04_1_F19_1,U2OS-04_1_F19,U2OS,test,U2OS-04,1,F19,1,positive_control,s24587,1119,test
U2OS-04_1_F19_2,U2OS-04_1_F19,U2OS,test,U2OS-04,1,F19,2,positive_control,s24587,1119,train
U2OS-04_1_F20_1,U2OS-04_1_F20,U2OS,test,U2OS-04,1,F20,1,treatment,s37894,194,test
U2OS-04_1_F20_2,U2OS-04_1_F20,U2OS,test,U2OS-04,1,F20,2,treatment,s37894,194,test
U2OS-04_1_F21_1,U2OS-04_1_F21,U2OS,test,U2OS-04,1,F21,1,treatment,s39044,697,valid
U2OS-04_1_F21_2,U2OS-04_1_F21,U2OS,test,U2OS-04,1,F21,2,treatment,s39044,697,test
U2OS-04_1_F22_1,U2OS-04_1_F22,U2OS,test,U2OS-04,1,F22,1,positive_control,s501342,1129,test
U2OS-04_1_F22_2,U2OS-04_1_F22,U2OS,test,U2OS-04,1,F22,2,positive_control,s501342,1129,test
U2OS-04_1_F23_1,U2OS-04_1_F23,U2OS,test,U2OS-04,1,F23,1,treatment,s36117,1047,test
U2OS-04_1_F23_2,U2OS-04_1_F23,U2OS,test,U2OS-04,1,F23,2,treatment,s36117,1047,valid
U2OS-04_1_G02_1,U2OS-04_1_G02,U2OS,test,U2OS-04,1,G02,1,treatment,s38090,43,test
U2OS-04_1_G02_2,U2OS-04_1_G02,U2OS,test,U2OS-04,1,G02,2,treatment,s38090,43,test
U2OS-04_1_G03_1,U2OS-04_1_G03,U2OS,test,U2OS-04,1,G03,1,treatment,s38630,783,test
U2OS-04_1_G03_2,U2OS-04_1_G03,U2OS,test,U2OS-04,1,G03,2,treatment,s38630,783,test
U2OS-04_1_G04_1,U2OS-04_1_G04,U2OS,test,U2OS-04,1,G04,1,treatment,s38409,1083,test
U2OS-04_1_G04_2,U2OS-04_1_G04,U2OS,test,U2OS-04,1,G04,2,treatment,s38409,1083,test
U2OS-04_1_G05_1,U2OS-04_1_G05,U2OS,test,U2OS-04,1,G05,1,treatment,s37782,225,test
U2OS-04_1_G05_2,U2OS-04_1_G05,U2OS,test,U2OS-04,1,G05,2,treatment,s37782,225,test
U2OS-04_1_G06_1,U2OS-04_1_G06,U2OS,test,U2OS-04,1,G06,1,treatment,s38653,305,test
U2OS-04_1_G06_2,U2OS-04_1_G06,U2OS,test,U2OS-04,1,G06,2,treatment,s38653,305,valid
U2OS-04_1_G07_1,U2OS-04_1_G07,U2OS,test,U2OS-04,1,G07,1,treatment,s38190,729,valid
U2OS-04_1_G07_2,U2OS-04_1_G07,U2OS,test,U2OS-04,1,G07,2,treatment,s38190,729,test
U2OS-04_1_G08_1,U2OS-04_1_G08,U2OS,test,U2OS-04,1,G08,1,treatment,s37990,721,test
U2OS-04_1_G08_2,U2OS-04_1_G08,U2OS,test,U2OS-04,1,G08,2,treatment,s37990,721,test
U2OS-04_1_G09_1,U2OS-04_1_G09,U2OS,test,U2OS-04,1,G09,1,treatment,s39185,169,test
